2.51351	2.36253	1.83995
-1.19413e-05	1.38332e-05	-1.30217e-05
0.0362361	0.0380988	0.0287568
-0.480584	0.522337	0.240074
2.95309e-05	9.61687e-06	7.87361e-05
-0.044075	-0.0440585	-0.0440523
0.276836	0.274007	0.363696
-0.0202609	0.0204347	0.00424185
-0.478543	-0.473567	-0.629572
-3.89182e-05	3.48172e-05	-4.66641e-05
2.27928e-06	1.60263e-05	-5.42347e-05
1.93256e-05	-6.74586e-06	2.21642e-07
-0.047834	-0.0502256	-0.0379409
0.152494	-0.164161	-0.0705091
-0.0211313	-0.0182011	-0.0329153
-0.198315	0.213495	0.0912763
